2024/09/25 13:50:53 [emerg] 2858689#0: open() "./root/conf/nginx.conf" failed (2: No such file or directory)
2024/09/25 13:51:26 [emerg] 2858824#0: dlopen() "/build/ngx_http_socks_module.so" failed (/build/ngx_http_socks_module.so: cannot open shared object file: No such file or directory) in ./root/conf/nginx.conf:5
2024/09/25 13:54:38 [emerg] 2859631#0: dlopen() "/root/ngx_http_xproxy_module.so" failed (/root/ngx_http_xproxy_module.so: cannot open shared object file: Permission denied) in ./root/conf/nginx.conf:5
2024/09/25 13:56:29 [emerg] 2863143#0: dlopen() "./root/../../../ngx_http_xproxy_module.so" failed (./root/../../../ngx_http_xproxy_module.so: cannot open shared object file: No such file or directory) in ./root/conf/nginx.conf:5
2024/09/25 13:56:51 [emerg] 2863207#0: dlopen() "./root/../../build/ngx_http_xproxy_module.so" failed (./root/../../build/ngx_http_xproxy_module.so: cannot open shared object file: No such file or directory) in ./root/conf/nginx.conf:5
2024/09/25 13:57:21 [emerg] 2863319#0: unknown directive "xsend_timeout" in ./root/conf/nginx.conf:30
2024/09/25 13:57:47 [emerg] 2863395#0: unknown directive "xproxy_via" in ./root/conf/nginx.conf:32
2024/09/25 14:09:05 [emerg] 2866807#0: "xproxy_via" directive via must be after xproxy_pass in ./root/conf/nginx.conf:31
2024/09/25 14:56:00 [emerg] 2879118#0: "xproxy_via" directive is duplicate in ./root/conf/nginx.conf:32
2024/09/25 15:20:40 [emerg] 2886491#0: unknown directive "xproxy_tt" in ./root/conf/nginx.conf:31
2024/09/25 15:20:50 [emerg] 2886520#0: https protocol requires SSL support in ./root/conf/nginx.conf:31
2024/09/25 15:39:31 [emerg] 2891473#0: https protocol requires SSL support in ./root/conf/nginx.conf:31
2024/09/25 15:41:46 [emerg] 2892209#0: host not found in upstream "proxy" in ./root/conf/nginx.conf:31
2024/09/25 15:44:15 [emerg] 2892764#0: host not found in upstream "proxy" in ./root/conf/nginx.conf:31
2024/09/25 15:45:41 [emerg] 2893278#0: https protocol requires SSL support in ./root/conf/nginx.conf:32
2024/09/25 15:45:52 [emerg] 2893309#0: host not found in upstream "proxy" in ./root/conf/nginx.conf:31
2024/09/25 15:46:44 [emerg] 2893503#0: host not found in upstream "proxy" in ./root/conf/nginx.conf:31
2024/09/25 15:59:55 [emerg] 2897214#0: host not found in upstream "proxy" in ./root/conf/nginx.conf:31
2024/09/25 16:00:34 [emerg] 2897746#0: host not found in upstream "dfff" in ./root/conf/nginx.conf:33
2024/09/25 16:00:44 [emerg] 2897789#0: host not found in upstream "proxy" in ./root/conf/nginx.conf:31
2024/09/25 16:00:52 [emerg] 2897817#0: host not found in upstream "dfff" in ./root/conf/nginx.conf:32
2024/09/25 16:01:32 [emerg] 2897950#0: host not found in upstream "proxy" in ./root/conf/nginx.conf:31
2024/09/25 16:01:42 [emerg] 2897989#0: host not found in upstream "proxy:1080" in ./root/conf/nginx.conf:31
2024/09/25 16:02:00 [emerg] 2898048#0: host not found in upstream "proxy:1080" in ./root/conf/nginx.conf:33
2024/09/25 16:06:08 [emerg] 2899507#0: host not found in upstream "dfff" in ./root/conf/nginx.conf:32
2024/09/25 16:09:09 [emerg] 2900311#0: host not found in upstream "proxy" in ./root/conf/nginx.conf:33
2024/09/25 16:11:23 [emerg] 2901006#0: host not found in upstream "dfff" in ./root/conf/nginx.conf:32
2024/09/25 16:11:39 [emerg] 2901057#0: host not found in upstream "proxy" in ./root/conf/nginx.conf:32
2024/09/25 16:12:16 [emerg] 2901201#0: host not found in upstream "proxy" in ./root/conf/nginx.conf:32
2024/09/25 16:13:29 [emerg] 2901433#0: host not found in upstream "proxy" in ./root/conf/nginx.conf:32
2024/09/25 16:13:46 [emerg] 2901497#0: host not found in upstream "proxy" in ./root/conf/nginx.conf:32
2024/09/25 16:15:42 [emerg] 2902144#0: host not found in upstream "proxy" in ./root/conf/nginx.conf:32
2024/09/25 16:20:58 [emerg] 2903560#0: host not found in upstream "dfff" in ./root/conf/nginx.conf:33
2024/09/25 16:25:32 [emerg] 2904829#0: "xproxy_via" directive must be before proxy_pass in ./root/conf/nginx.conf:32
2024/09/25 16:25:59 [emerg] 2904921#0: host not found in upstream "dfff" in ./root/conf/nginx.conf:33
